id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
INET_N_856;None;['INET_N_856'];['INET_N_856'];53.01781;23.896413;PL;None;{'nuts_id_1': 'PL8', 'nuts_id_2': 'PL84', 'nuts_id_3': 'PL841'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
INET_N_1829;None;['INET_N_1829'];['INET_N_1829'];52.98499399999999;22.241386;PL;None;{'nuts_id_1': 'PL8', 'nuts_id_2': 'PL84', 'nuts_id_3': 'PL842'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
INET_N_329;None;['INET_N_329'];['INET_N_329'];52.88148399999999;20.619795;PL;None;{'nuts_id_1': 'PL9', 'nuts_id_2': 'PL92', 'nuts_id_3': 'PL922'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
INET_N_1234;None;['INET_N_1234'];['INET_N_1234'];48.852;2.371;FR;None;{'nuts_id_1': 'FR1', 'nuts_id_2': 'FR10', 'nuts_id_3': 'FR101'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
SEQ_14_p;None;['SEQ_14_p'];['SEQ_14_p'];49.42052;0.40896;FR;None;{'nuts_id_1': 'FRD', 'nuts_id_2': 'FRD2', 'nuts_id_3': 'FRD21'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
INET_N_1613;None;['INET_N_1613'];['INET_N_1613'];46.505528000000005;13.592806;IT;None;{'nuts_id_1': 'ITH', 'nuts_id_2': 'ITH4', 'nuts_id_3': 'ITH42'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
INET_N_1010;None;['INET_N_1010'];['INET_N_1010'];46.503733000000004;13.416054;IT;None;{'nuts_id_1': 'ITH', 'nuts_id_2': 'ITH4', 'nuts_id_3': 'ITH42'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
INET_N_1094;None;['INET_N_1094'];['INET_N_1094'];38.022844;15.013029000000001;IT;None;{'nuts_id_1': 'ITG', 'nuts_id_2': 'ITG1', 'nuts_id_3': 'ITG13'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
INET_N_1062;None;['INET_N_1062'];['INET_N_1062'];38.272079;15.588770000000002;IT;None;{'nuts_id_1': 'ITG', 'nuts_id_2': 'ITG1', 'nuts_id_3': 'ITG13'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
INET_N_1087;None;['INET_N_1087'];['INET_N_1087'];46.398538;13.186670999999999;IT;None;{'nuts_id_1': 'ITH', 'nuts_id_2': 'ITH4', 'nuts_id_3': 'ITH42'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
INET_N_383;None;['INET_N_383'];['INET_N_383'];38.868056;-0.026708999999999997;ES;None;{'nuts_id_1': 'ES5', 'nuts_id_2': 'ES52', 'nuts_id_3': 'ES521'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
INET_N_1373;None;['INET_N_1373'];['INET_N_1373'];41.55;13.66;IT;None;{'nuts_id_1': 'ITI', 'nuts_id_2': 'ITI4', 'nuts_id_3': 'ITI45'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
